Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;11300153736;"Annual Review of Pathology: Mechanisms of Disease";journal;"15534006, 15534014";11,748;Q1;147;22;63;3087;2361;63;28,74;140,32;33,33;0;15;United States;Northern America;"Annual Reviews Inc.";"2006-2023";"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Medicine"
2;16721;"Annual Review of Plant Biology";journal;"15452123, 15435008";7,555;Q1;298;28;109;4809;2473;104;18,76;171,75;37,89;0;9;United States;Northern America;"Annual Reviews Inc.";"1996-2023";"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
3;21100873499;"Nature Sustainability";journal;"23989629";7,366;Q1;115;250;516;9291;10802;379;18,52;37,16;34,58;34;156;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2023";"Ecology (Q1); Food Science (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Renewable Energy, Sustainability and the Environment (Q1); Urban Studies (Q1)";"Agricultural and Biological Sciences; Energy; Environmental Science; Social Sciences"
4;40944;"Genome Biology";journal;"14747596";7,197;Q1;301;288;896;20374;10700;865;9,65;70,74;39,38;0;56;United Kingdom;Western Europe;"BioMed Central Ltd";"2000-2023";"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
5;18567;"Fungal Diversity";journal;"15602745, 18789129";6,787;Q1;123;18;67;5667;1404;64;20,37;314,83;42,86;0;2;Netherlands;Western Europe;"Springer Nature";"1998-2023";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Environmental Science"
6;17600155011;"Molecular Plant";journal;"16742052, 17529867";5,967;Q1;162;181;553;10789;9110;442;10,41;59,61;38,52;0;34;United States;Northern America;"Elsevier";"2008-2023";"Molecular Biology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
7;19133;"Annual Review of Entomology";journal;"00664170, 15454487";5,909;Q1;230;24;75;3272;1650;72;15,14;136,33;30,51;1;11;United States;Northern America;"Annual Reviews Inc.";"1961-1963, 1966-1967, 1969-1979, 1981-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1)";"Agricultural and Biological Sciences"
8;110325;"Annual Review of Ecology, Evolution, and Systematics";book series;"1543592X";5,403;Q1;247;22;74;2835;962;74;10,71;128,86;50,00;0;11;United States;Northern America;"Annual Reviews Inc.";"2003-2022";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences; Environmental Science"
9;4700152228;"Molecular Systems Biology";journal;"17444292";5,305;Q1;172;56;239;4036;2142;220;7,93;72,07;40,08;0;14;United Kingdom;Western Europe;"Springer Nature";"2005-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Immunology and Microbiology; Mathematics; Medicine"
10;21100447118;"Mycosphere";journal;"20777019, 20777000";5,204;Q1;40;14;59;3439;910;58;10,23;245,64;39,38;0;2;China;Asiatic Region;"Zhongkai University";"2014-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences"
11;14365;"Trends in Ecology and Evolution";journal;"01695347, 18728383";5,165;Q1;381;161;425;8938;4514;332;10,25;55,52;39,57;8;61;United Kingdom;Western Europe;"Elsevier Ltd";"1986-2023";"Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences"
12;21100416121;"Nature Plants";journal;"2055026X, 20550278";5,134;Q1;131;274;686;10476;6409;444;8,57;38,23;35,81;1;24;United Kingdom;Western Europe;"Nature Research";"2010, 2015-2023";"Plant Science (Q1)";"Agricultural and Biological Sciences"
13;21100831440;"Nature Ecology and Evolution";journal;"2397334X";5,056;Q1;118;296;810;13696;7470;566;7,84;46,27;38,98;7;71;United States;Northern America;"Nature Publishing Group";"2016-2023";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences; Environmental Science"
14;21101041558;"Nature Food";journal;"26621355";4,891;Q1;57;223;615;5851;6699;317;10,33;26,24;47,92;20;119;United Kingdom;Western Europe;"Springer Nature";"2020-2023";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences"
15;17269;"Studies in Mycology";journal;"01660616";4,821;Q1;118;11;28;2436;540;27;15,23;221,45;38,00;0;1;Netherlands;Western Europe;"Westerdijk Fungal Biodiversity Institute";"1996, 1998-2000, 2002-2021";"Agricultural and Biological Sciences (miscellaneous) (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences"
16;14599;"Ecology Letters";journal;"1461023X, 14610248";4,497;Q1;313;183;638;14175;5567;300;7,63;77,46;32,73;1;57;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1998-2023";"Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences"
17;9500153903;"Biological Reviews";journal;"1469185X, 14647931";4,347;Q1;199;116;322;24582;4338;322;12,47;211,91;37,74;3;45;United States;Northern America;"Wiley-Blackwell";"1924-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
18;12503;"Remote Sensing of Environment";journal;"00344257";4,310;Q1;350;431;1433;32671;19566;1423;11,99;75,80;31,14;4;165;United States;Northern America;"Elsevier Inc.";"1969-2023";"Computers in Earth Sciences (Q1); Geology (Q1); Soil Science (Q1)";"Agricultural and Biological Sciences; Earth and Planetary Sciences"
19;12216;"Molecular Biology and Evolution";journal;"15371719, 07374038";4,061;Q1;245;280;1048;22808;10469;1025;10,73;81,46;38,15;2;52;United Kingdom;Western Europe;"Oxford University Press";"1983-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Molecular Biology (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
20;12977;"PLoS Biology";journal;"15449173, 15457885";3,822;Q1;305;471;1083;28978;8954;1064;6,34;61,52;40,54;4;87;United States;Northern America;"Public Library of Science";"2003-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Neuroscience"
21;5800173382;"ISME Journal";journal;"17517362, 17517370";3,692;Q1;230;226;783;16228;9197;777;11,23;71,81;38,97;0;60;United Kingdom;Western Europe;"Oxford University Press";"2007-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Microbiology (Q1)";"Agricultural and Biological Sciences; Immunology and Microbiology"
22;16594;"Plant Cell";journal;"1532298X, 10404651";3,616;Q1;397;305;950;18558;7236;767;7,19;60,85;38,33;0;21;United States;Northern America;"American Society of Plant Biologists";"1989-2023";"Cell Biology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
23;14802;"Soil Biology and Biochemistry";journal;"00380717";3,453;Q1;266;256;921;18891;9993;916;10,47;73,79;39,41;2;95;United Kingdom;Western Europe;"Elsevier Ltd";"1933, 1969-2023";"Microbiology (Q1); Soil Science (Q1)";"Agricultural and Biological Sciences; Immunology and Microbiology"
24;21101040628;"Evolution Letters";journal;"20563744";3,373;Q1;33;18;135;1227;574;19;3,51;68,17;42,31;0;4;United Kingdom;Western Europe;"Oxford University Press";"2017-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
25;15049;"Biometrika";journal;"14643510, 00063444";3,358;Q1;132;52;220;1791;775;213;3,07;34,44;27,20;1;5;United Kingdom;Western Europe;"Oxford University Press";"1908-1913, 1945, 1947-1951, 1965-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Agricultural and Biological Sciences; Decision Sciences; Mathematics"
26;144675;"Frontiers in Ecology and the Environment";journal;"15409295, 15409309";3,291;Q1;198;102;340;2313;1941;185;5,45;22,68;46,03;4;37;United States;Northern America;"Wiley-Blackwell";"2003-2023";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences; Environmental Science"
27;17809;"Trends in Plant Science";journal;"13601385, 18784372";3,204;Q1;310;203;465;11056;5544;446;10,84;54,46;31,77;0;47;United Kingdom;Western Europe;"Elsevier Ltd";"1996-2023";"Plant Science (Q1)";"Agricultural and Biological Sciences"
28;19900191736;"Conservation Letters";journal;"1755263X";3,176;Q1;105;59;220;2444;1675;87;7,03;41,42;43,35;4;53;United States;Northern America;"John Wiley & Sons Inc.";"2008, 2010-2023";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)";"Agricultural and Biological Sciences; Environmental Science"
